174 955 AND UEFA Andorra
175 926 CHA CAF Chad
176 923 NEP AFC Nepal
177 920 BRB CONCACAF Barbados
178 917 MSR CONCACAF Montserrat
179 912 MRI CAF Mauritius
180 910 CAM AFC Cambodia
181 904 BLZ CONCACAF Belize
182 901 DMA CONCACAF Dominica
183 901 BRU AFC Brunei
184 899 BAN AFC Bangladesh
185 890 LAO AFC Laos
186 889 BHU AFC Bhutan
187 883 ASA OFC American Samoa
188 880 MNG AFC Mongolia
189 878 COK OFC Cook Islands
190 876 SAM OFC Samoa
191 865 MAC AFC Macao
192 861 ARU CONCACAF Aruba
193 856 DJI CAF Djibouti
194 855 TLS AFC Timor-Leste
195 855 STP CAF Sao Tome and Principe
196 853 CAY CONCACAF Cayman Islands
197 852 SRI AFC Sri Lanka
198 836 TGA OFC Tonga
199 829 PAK AFC Pakistan
200 827 GIB UEFA Gibraltar
201 825 SOM CAF Somalia
202 823 GUM AFC Guam
203 812 SEY CAF Seychelles
204 808 LIE UEFA Liechtenstein
205 807 BAH CONCACAF Bahamas
206 804 TCA CONCACAF Turks and Caicos Islands
207 780 VIR CONCACAF U.S. Virgin Islands
208 769 VGB CONCACAF British Virgin Islands
209 759 AIA CONCACAF Anguilla
210 733 SMR UEFA San Marino
