173 962 VIN CONCACAF Saint Vincent and The Grenadines
174 954 AND UEFA Andorra
175 925 CHA CAF Chad
176 923 NEP AFC Nepal
177 922 MRI CAF Mauritius
178 920 BRB CONCACAF Barbados
179 917 MSR CONCACAF Montserrat
180 910 CAM AFC Cambodia
181 904 BLZ CONCACAF Belize
182 901 DMA CONCACAF Dominica
183 901 BRU AFC Brunei
184 899 BAN AFC Bangladesh
185 890 LAO AFC Laos
186 889 BHU AFC Bhutan
187 883 ASA OFC American Samoa
188 880 MNG AFC Mongolia
189 878 COK OFC Cook Islands
190 876 SAM OFC Samoa
191 866 DJI CAF Djibouti
192 865 MAC AFC Macao
193 865 STP CAF Sao Tome and Principe
194 861 ARU CONCACAF Aruba
195 855 TLS AFC Timor-Leste
196 855 SRI AFC Sri Lanka
197 853 CAY CONCACAF Cayman Islands
198 836 TGA OFC Tonga
199 835 GIB UEFA Gibraltar
200 832 SOM CAF Somalia
201 829 PAK AFC Pakistan
202 823 GUM AFC Guam
203 821 SEY CAF Seychelles
204 812 LIE UEFA Liechtenstein
205 807 BAH CONCACAF Bahamas
206 804 TCA CONCACAF Turks and Caicos Islands
207 780 VIR CONCACAF U.S. Virgin Islands
208 769 VGB CONCACAF British Virgin Islands
209 759 AIA CONCACAF Anguilla
210 738 SMR UEFA San Marino
